04 SyntaxError  inteiro a [ 2 ] ;
05 SyntaxError  real b [ 2 ] [ 3 ] ;
06 SyntaxError  booleano c [ 4 ] [ 3 ] [ 5 ] ;
07 SyntaxError  cadeia d ;
09 SemanticoError Identificador ja instanciado: a
11 SemanticoError Identificador ja instanciado: b
13 SemanticoError Identificador ja instanciado: c
15 SemanticoError Identificador ja instanciado: d
17 SemanticoError Identificador ja instanciado: e
25 SemanticoError Identificador ja instanciado: f
27 SemanticoError Identificador ja instanciado: g
29 SemanticoError Identificador ja instanciado: h
31 SemanticoError Identificador ja instanciado: i
33 SemanticoError Identificador ja instanciado: j
39 SemanticoError Identificador ja instanciado: m
40 SemanticoError Identificador ja instanciado: l
41 SemanticoError Identificador ja instanciado: l
43 SemanticoError Identificador ja instanciado: n
45 SemanticoError Identificador ja instanciado: o
47 SemanticoError Identificador ja instanciado: p
54 SemanticoError Identificador ja instanciado: r
56 SemanticoError Identificador ja instanciado: s
58 SemanticoError Identificador ja instanciado: t
60 SemanticoError Identificador ja instanciado: u
62 SemanticoError Identificador ja instanciado: v
68 SemanticoError Identificador ja instanciado: w
70 SemanticoError Identificador ja instanciado: x
72 SemanticoError Identificador ja instanciado: y
74 SemanticoError Identificador ja instanciado: z
76 SemanticoError Identificador ja instanciado: alfabeto
